id,topic_key,topic_label,text,option_1,option_2,option_3,option_4,correct_index,explanation,time_limit_seconds
q110,bee_products,Prodotti dell'alveare,"Durante la degustazione, la ""persistenza aromatica"" si riferisce a:",Quanto tempo resta il sapore in bocca dopo averlo deglutito,Quanto è scuro il colore,Quanto è dolce,Quanto è fluido,0,È uno dei parametri più importanti nella valutazione sensoriale professionale.,25
q112,bee_products,Prodotti dell'alveare,"Quale trattamento è vietato per il miele destinato alla vendita come ""miele vergine""?",Riscaldamento sopra 40°C,Decantazione,Estrazione con smielatore,Filtrazione a maglia larga,0,Il miele non deve subire trattamenti termici che ne alterino le caratteristiche naturali.,25
q114,bees,Le api,Quanto dura mediamente lo stadio di uovo nella ape mellifera?,1 giorno,3 giorni,9 giorni,21 giorni,1,L'uovo viene deposto dalla regina e si schiude dopo circa 3 giorni.,25
q115,bees,Le api,Per quanto tempo la larva di ape operaia viene nutrita con pappa reale?,Solo il primo giorno,Tutti i 6 giorni di stadio larvale,Solo gli ultimi 2 giorni,Mai,0,Nei primi giorni tutte le larve femminili ricevono pappa reale; poi solo le regine continuano.,25
q116,bees,Le api,Qual è la durata totale dello sviluppo da uovo a ape adulta per un'operaia?,16 giorni,21 giorni,24 giorni,28 giorni,1,Uovo (3) + larva (6) + pupa (12) = 21 giorni circa.,25
q117,bees,Le api,Quanti giorni dura lo stadio di pupa in un'operaia?,6 giorni,8 giorni,12 giorni,18 giorni,2,Durante la pupa l'ape si trasforma completamente all'interno della cella opercolata.,25
q118,bees,Le api,Quale casta vive più a lungo?,Fuco,Operaia estiva,Regina,Operaia invernale,2,"Una regina ben nutrita può vivere 3-5 anni, mentre le operaie vivono poche settimane (estive) o mesi (invernali).",25
q119,bees,Le api,Le operaie cambiano compito in base all'età (età polivalente). Quale compito svolgono tipicamente tra i 12 e 18 giorni?,Pulizia delle celle,Nutrici di larva,Cerifere (produzione di cera),Foraggere,2,Tra i 12-18 giorni circa le operaie producono cera dalle ghiandole ceripare.,25
q120,bees,Le api,Qual è il compito principale dei fuchi?,Raccogliere nettare,Ventilare l'alveare,Fecondare la regina vergine,Pulire le celle,2,I fuchi hanno solo funzione riproduttiva e vengono espulsi in autunno.,25
q121,bees,Le api,Quante uova può deporre una regina in un solo giorno nella stagione di massimo sviluppo?,200-400,500-800,1000-2000,Più di 3000,2,Una buona regina depone fino a 1500-2000 uova al giorno.,25
q122,bees,Le api,Le api operaie invernali vivono più a lungo di quelle estive perché:,Hanno ali più grandi,Hanno meno lavoro e accumulano più riserve grasse,Nascono già vecchie,Non fanno mai voli,1,Le api invernali hanno un organismo diverso (più grasso corporeo) e vivono 4-6 mesi.,25
q123,bees,Le api,Quale feromone prodotto dalla regina inibisce la costruzione di celle reali e lo sviluppo ovarico nelle operaie?,Feromone Nasonov,Feromone della regina (QMP),Feromone di allarme,Acido oleico,1,Il QMP (Queen Mandibular Pheromone) mantiene la coesione sociale e impedisce alle operaie di diventare regine.,25
q126,bees,Le api,Le celle reali (o celle da sciame) si riconoscono perché:,Sono più piccole delle celle di operaia,Sono situate al centro del favo,"Sono grandi, pendenti e poste sui bordi inferiori dei telai",Hanno colore scuro,2,Le celle reali sono visibilmente più grandi e pendono verso il basso.,25
q127,bees,Le api,Quando la colonia costruisce molte celle reali lungo i bordi inferiori significa tipicamente:,Che la regina è vecchia e va sostituita,Che la colonia si sta preparando alla sciamatura,Che c'è carenza di polline,Che è orfana,1,La presenza abbondante di celle reali è il segnale classico di imminente sciamatura.,25
q128,hive_management,Gestione dell'alveare,L'acido ossalico per il controllo della varroa si usa principalmente:,In qualsiasi momento dell'anno,Durante la presenza di covata opercolata,In assenza di covata (autunno/inverno),Solo in primavera,2,In assenza di covata è molto efficace e meno stressante per le api.,25
q129,hive_management,Gestione dell'alveare,Il timolo viene utilizzato in apicoltura principalmente per:,Stimolare la produzione di miele,Controllare la varroa e alcuni funghi (es. nosema),Aumentare la produzione di cera,Attirare gli sciami,1,Si usa sotto forma di pastiglie o gel per il controllo della varroa.,25
q130,hive_management,Gestione dell'alveare,Quando si applica l'acido ossalico per sublimazione è necessario:,Usare mascherina e dispositivi di protezione,Scaldare l'alveare prima,Applicarlo solo di giorno con forte volo,Nessuna precauzione,0,È un trattamento che richiede dispositivi specifici e protezioni per l'apicoltore.,25
q131,hive_management,Gestione dell'alveare,Quale tra questi è un vantaggio dell'acido formico rispetto all'ossalico?,È efficace anche con covata presente,È più economico,Non lascia residui,È meno pericoloso per le api,0,"L'acido formico penetra nella covata opercolata, utile in periodi con covata.",25
q132,hive_management,Gestione dell'alveare,È obbligatorio registrare i trattamenti contro la varroa?,"No, solo per i farmaci veterinari","Sì, nei registri di apiario per tracciabilità",Solo se si usa ossalico,"No, è facoltativo",1,La normativa richiede la registrazione di tutti i trattamenti sanitari.,25
q133,hive_management,Gestione dell'alveare,Il timolo può lasciare residui nel miele se:,Si usa correttamente in autunno,Si applica durante la raccolta del miele,Si usa solo in primavera,Non lascia mai residui,1,Va rispettato il tempo di sospensione indicato sulla scheda tecnica.,25
q134,bees,Le api,Quanti occhi composti ha un'ape adulta?,1,2,3,5,1,Le api hanno due grandi occhi composti ai lati della testa.,25
q135,hive_management,Gestione dell'alveare,"La ""rotazione dei telaini"" serve principalmente a:",Aumentare la produzione di polline,Rinnovare la cera vecchia e ridurre accumulo di residui,Far crescere più fuchi,Diminuire la popolazione,1,La cera vecchia accumula spore e residui; sostituirla migliora la salute.,25
q136,pollination,Impollinazione,"Le api mellifere sono considerate ""impollinatori generalisti"" perché:",Impollinano solo una specie di pianta,Visitano moltissime specie floreali diverse,Sono attive solo di notte,Impollinano solo alberi da frutto,1,Visitano centinaia di specie vegetali diverse durante la stagione.,25
q138,hive_management,Gestione dell'alveare,Un buon metodo per valutare la forza di una colonia è:,Contare le api in volo,Valutare la copertura di api sui telaini (es. 6-8 telaini coperti),Misurare solo la quantità di miele,Contare le celle reali,1,"La ""copertura api"" è uno dei parametri più usati dagli apicoltori esperti.",25
q139,bees,Le api,Le api operaie estive vivono in media:,6-8 giorni,3-6 settimane,3-6 mesi,1 anno,1,Le foraggere estive hanno vita breve a causa dell'intenso lavoro.,25
q140,hive_management,Gestione dell'alveare,"La ""unione di due colonie deboli"" si fa meglio:",Unendo senza giornale,Con il metodo del giornale (foglio di giornale tra i due alveari),Di notte con forte fumo,Solo in primavera,1,Il giornale permette alle api di abituarsi gradualmente all'odore.,25
q141,bee_products,Prodotti dell'alveare,Il polline d'api per uso umano deve essere:,Raccolto solo da fiori di castagno,Congelato subito dopo la raccolta per conservarne le proprietà o essiccato,Scaldato a 60°C,Conservato a temperatura ambiente,1,"Il congelamento rapido preserva vitamine, enzimi e proprietà nutrizionali.",25
q142,hive_management,Gestione dell'alveare,"Perché è utile fare il ""test di caduta naturale di varroa""?",Per contare le api morte,Sapere quante varroe cadono in 24-48 ore senza trattamento,Per misurare l'umidità nell'alveare,Per controllare la regina,1,È un metodo di monitoraggio importante per decidere se e quando trattare.,25
q143,bees,Le api,"Il ""pungiglione"" dell'ape operaia è:",Liscio e può essere ritirato,Uncinato: rimane nella pelle e stacca l'apparato,Usato solo dai fuchi,Presente solo nella regina,1,"Quando punge un mammifero, l'ape lascia il pungiglione e muore.",25
q144,pollination,Impollinazione,Quale pratica agricola favorisce maggiormente le api selvatiche oltre a quelle mellifere?,Monocolture intensive,Sfalcio frequente dei bordi campo,Fasce fiorite e siepi naturali,Pesticidi sistemici,2,Le fasce fiorite e gli elementi naturali aumentano la biodiversità degli impollinatori.,25
q145,hive_management,Gestione dell'alveare,Il melario va aggiunto quando:,La colonia è debole,La colonia ha occupato bene i telai di covata e c'è forte flusso di nettare,In autunno,Quando ci sono molte celle reali,1,Si aggiunge quando la colonia è forte e c'è abbondanza di nettare.,25
q146,bees,Le api,"Le giovani operaie (prime 2-3 settimane) svolgono principalmente compiti ""dentro l'alveare"" detti:",Foraggiatrici,Nutrici e spazzine,Cerifere e guardiane,Regine di riserva,1,"Le prime fasi della vita sono dedicate a compiti interni (pulizia, nutrizione, costruzione).",25
q147,hive_management,Gestione dell'alveare,Un buon apicoltore dovrebbe visitare le colonie con che frequenza in alta stagione?,Mai,Una volta al mese,Ogni 7-10 giorni,Ogni giorno,2,Controlli frequenti ma non eccessivi permettono di intervenire tempestivamente.,25
q149,hive_management,Gestione dell'alveare,"Il ""nucleo"" è:",Un alveare completo,"Una piccola colonia con regina, covata e api usata per moltiplicare o rinforzare",Un tipo di miele,Un contenitore per sciami,1,I nuclei sono fondamentali per l'allevamento e la gestione delle colonie.,25
q151,diseases,Malattie e parassiti,"La ""peste americana"" è causata da:",Un virus,Un fungo,Un batterio (Paenibacillus larvae),Un acaro,2,"È una malattia molto grave della covata, altamente contagiosa.",25
q152,diseases,Malattie e parassiti,Il Nosema ceranae colpisce principalmente:,Le ali,Il sistema nervoso,L'intestino medio delle api adulte,La covata,2,"Provoca disentería, indebolimento e ridotta longevità.",25
q153,diseases,Malattie e parassiti,"Quale malattia della covata produce larve ""appiccicose"" che si filano come un filo quando si inserisce uno stecchino?",Loque americana,Calcificazione (chalkbrood),Peste europea,Varroosi,2,È il classico test diagnostico per la peste europea (Melissococcus plutonius).,25
q154,diseases,Malattie e parassiti,"Le ali a ""K"" (deformate) nelle api emergenti sono tipicamente segno di:",Nosema,Alta carica di varroa + virus DWV,Carenza di polline,Eccesso di umidità,1,Il virus delle ali deformi (DWV) viene amplificato dalla varroa.,25
q155,diseases,Malattie e parassiti,"La ""dissentería"" (macchie marroni all'ingresso dell'alveare) può essere causata da:",Eccesso di umidita’,Nosema apis o ceranae,Entrambe le cose sopra, Solo freddo,2,Sia la melata che i Nosema provocano diarrea nelle api.,25
q156,diseases,Malattie e parassiti,Quale pratica aiuta a prevenire molte malattie della covata?,Uso costante di antibiotici,Rinnovare regolarmente i telaini di covata,Mantenere forte la colonia e buona nutrizione,Sostituire la regina ogni anno,2,Colonie forti e con buona igiene naturale resistono meglio alle malattie.,25
q157,diseases,Malattie e parassiti,"Il ""calcolo della caduta naturale di varroa"" si fa meglio con:",Un fondo antivarroa con griglia e foglio bianco,Contando le api morte a terra,Solo osservando le api in volo,Con app sul telefono,0,Si conta il numero di varroe cadute in 24-72 ore.,25
q158,apiary_regulations,Normativa apistica,In Italia è obbligatorio registrare l'apiario presso:,Solo il Comune,Il Servizio Veterinario dell'ASL e tenere aggiornato il registro apistico,La Camera di Commercio,Solo l'Associazione apicoltori,1,La registrazione è obbligatoria per legge.,25
q159,apiary_regulations,Normativa apistica,Il registro di apiario deve contenere almeno:,Solo il numero di alveari,"Trattamenti sanitari, movimenti di apiari e produzioni",Solo i dati del proprietario,Solo le vendite di miele,1,È uno strumento fondamentale di tracciabilità e sanità.,25
q162,apiary_regulations,Normativa apistica,È vietato somministrare alle api:,Zucchero bianco,Antibiotici senza prescrizione veterinaria,Miele di produzione propria,Acqua zuccherata,1,Per evitare resistenze e contaminazioni.,25
q163,apiary_regulations,Normativa apistica,"La dicitura ""Miele italiano"" sull'etichetta può essere usata solo se:",Il miele è prodotto per almeno il 50% in Italia,Il miele proviene interamente dall'Italia,È millefiori,È biologico,1,Deve essere 100% italiano (origine e confezionamento).,25
q164,hive_management,Gestione dell'alveare,Quale strumento è indispensabile per estrarre il miele dai telaini?,Coltello da disopercolatura,Smielatore centrifugo o pressa,Leva apistica,Affumicatore,1,Lo smielatore è l'attrezzo principale per la raccolta del miele.,25
q165,hive_management,Gestione dell'alveare,"Quando è utile dare ""sciroppo stimolante"" alle api?",Sempre in estate,In primavera per stimolare la covata o in autunno per preparare l'inverno,Durante la raccolta del miele,Solo in caso di sciamatura,1,Aiuta la colonia a crescere o a fare scorte prima dell'inverno.,25
q166,bees,Le api,Le api raccolgono acqua principalmente per:,Bere,Regolare la temperatura dell'alveare e diluire il miele,Produrre cera,Nutrire le larve,1,L'acqua serve per la termoregolazione (ventilazione) e per diluire il miele.,25
q167,hive_management,Gestione dell'alveare,"Un buon ""fondo antivarroa"" con griglia serve a:",Aumentare la ventilazione,Sottoporre a trattamento termico,Monitorare la caduta di varroa,Bloccare le api,2,È uno strumento molto utile per monitoraggio e igiene.,25
q168,hive_management,Gestione dell'alveare,"La ""nutrizione autunnale"" serve principalmente a:",Far produrre più miele,Permettere alle api di accumulare scorte per l'inverno,Rinforzare la colonia in primavera,Stimolare la sciamatura,1,È fondamentale per superare l'inverno senza fame.,25
q169,hive_management,Gestione dell'alveare,Perché è consigliato usare telaini con cera vergine o fondazione di cera?,Per aumentare la produzione di propoli,Per ridurre il rischio di accumulo di residui nella cera vecchia,Per far deporre più uova di fuchi,Per rendere l'alveare più bello,1,La cera riciclata accumula contaminanti nel tempo.,25
q170,bees,Le api,Le api hanno quanti stomaci funzionali?,1,2 (personale e sociale),3,4,1,"Lo stomaco sociale serve a trasportare il nettare, quello personale a digerire il cibo.",25
q171,hive_management,Gestione dell'alveare,"Il ""metodo del giornale"" per unire due colonie serve a:",Farle combattere,Permettere un graduale riconoscimento degli odori,Eliminare una regina,Velocizzare la fusione,1,Le api rosicchiano lentamente il giornale e si abituano all’odore dell’altra colonia.,25
q172,diseases,Malattie e parassiti,La peste europea colpisce soprattutto:,Api adulte,La covata aperta (larve),Solo le regine,La cera,1,"Le larve muoiono prima dell’operculazione e assumono una posizione a ""C"".",25
q173,bee_products,Prodotti dell'alveare,Quale parametro fisico indica la maturità del miele durante l’estrazione?,Temperatura,Contenuto di umidità (<18%),Colore,Quantità di polline,1,"Un miele con umidità superiore al 18-18,5% rischia di fermentare.",25
q174,apiary_regulations,Normativa apistica,"In Italia, per esercitare l’apicoltura con più di 10 alveari è obbligatorio:",Essere iscritto all’albo professionale,Avere partita IVA e seguire i corsi di formazione,Solo registrare l’apiario,"No, è sempre libero",1,La normativa varia per regione ma per attività economica serve partita IVA.,25
q175,hive_management,Gestione dell'alveare,"Quando si vede ""barba"" di api fuori dall’alveare in estate significa:",La colonia è debole,La colonia sta sciamando,Eccesso di calore (ventilazione),Mancanza di regina,2,Le api escono per aiutare a raffreddare l’interno dell’arnia.,25
q176,bees,Le api,Qual è la temperatura ideale all’interno dell’alveare per lo sviluppo della covata?,30-32°C,34-35°C,37-38°C,28-30°C,1,"Le api mantengono la covata a circa 34,5 °C con ventilazione e clustering.",25
q177,pollination,Impollinazione,Le api mellifere trasportano il polline principalmente nelle:,Antenne,Borsa melaria,Cestelle polliniche sulle zampe posteriori,Ghiandole ceripare,2,Le cestelle (o corbicule) si trovano sulle zampe posteriori.,25
q178,diseases,Malattie e parassiti,Un buon indicatore di salute della colonia è:,Presenza di molte celle reali,Una covata compatta e uniforme con pochi buchi,Presenza di fuchi in autunno,Molte api morte all’ingresso,1,"La covata ""a chiazza"" omogenea indica una buona regina.",25
q180,hive_management,Gestione dell'alveare,La sostituzione della regina (requeening) si fa preferibilmente:,In piena estate,In autunno o inizio primavera con regina giovane,Durante la sciamatura,Solo se la colonia è orfana,1,Una regina giovane in autunno garantisce una buona svernamento.,25
q182,bees,Le api,Le operaie producono la cera dalle ghiandole ceripare intorno ai:,3-8 giorni di vita,12-18 giorni di vita,20-25 giorni di vita,Dopo 30 giorni,1,Le ghiandole sono attive soprattutto nelle giovani operaie.,25
q183,hive_management,Gestione dell'alveare,"Un buon ""nucleo"" per moltiplicazione dovrebbe contenere almeno:",Solo api,5 telaini di covata e api,1 telaino di covata,10 telaini,1,"Deve avere covata, api, scorte e preferibilmente regina o celle reali.",25
q184,diseases,Malattie e parassiti,Il trattamento con acido formico è particolarmente utile perché:,È efficace solo senza covata,Penetra nella covata opercolata,Non richiede protezioni,È economico ma inefficace,1,È uno dei pochi trattamenti attivi anche sulle varroe dentro le celle opercolate.,25
q185,bee_products,Prodotti dell'alveare,La cristallizzazione del miele è un processo:,Chimico irreversibile,Fisico reversibile (si può liquefare con bagnomaria),Sempre un difetto,Solo del miele di acacia,1,Si può sciogliere a temperatura controllata (<45°C).,25
q186,hive_management,Gestione dell'alveare,Perché è importante lasciare almeno 8-10 kg di scorte di miele alle api per l’inverno?,Per vendere di più,Per permettere loro di superare il periodo freddo senza fame,Per stimolare la sciamatura,Non è importante,1,La fame invernale è una delle principali cause di morte delle colonie.,25
q187,pollination,Impollinazione,Quale colore di fiore è particolarmente attraente per le api?,Rosso,Blu e giallo,Verde,Nero,1,Le api vedono bene l’ultravioletto e i colori blu/giallo.,25
q188,bees,Le api,Il feromone di allarme viene rilasciato principalmente dal:,Addome (ghiandola di Koschevnikov),Testa,Ali,Zampe,0,"Quando un’ape punge, rilascia feromone che richiama altre api.",25
q190,hive_management,Gestione dell'alveare,"La ""spinta primaverile"" (spring build-up) si favorisce con:",Riduzione dello spazio,Stimolazione con sciroppo 1:1 e buona disponibilità di polline,Aggiunta di melari vuoti,Trattamenti varroa intensi,1,Nutrizione e spazio adeguato favoriscono lo sviluppo rapido della colonia.,25
q191,diseases,Malattie e parassiti,La calcificazione (chalkbrood) si previene soprattutto con:,Antibiotici,Uso di telaini con cera nuova e buona ventilazione,Vaccini,Sostituzione della regina,1,Il fungo Ascosphaera apis ama umidità elevata e cera vecchia.,25
q192,bee_products,Prodotti dell'alveare,Il polline d’api congelato mantiene meglio le proprietà perché:,Si indurisce,Preserva vitamine e probiotici,Diventa più dolce,Perde umidità,1,Il congelamento rapido (-18°C) è il metodo migliore di conservazione.,25
q194,bees,Le api,Quante zampe ha un’ape mellifera?,4,6,8,10,1,"Le api, come tutti gli insetti, hanno tre paia di zampe.",25
q195,hive_management,Gestione dell'alveare,"Il ""raschiamento dei fondi"" è utile soprattutto per:",Raccogliere propoli,Monitorare la caduta di varroa e igiene generale,Produrre più miele,Aumentare la covata,1,Si rimuovono detriti e si controlla lo stato sanitario.,25
q196,pollination,Impollinazione,Le api possono percorrere fino a quanti km per trovare una buona fonte di nettare?,1-2 km,3-6 km,7-8 km,Più di 10 km,1,In condizioni di scarsità arrivano anche a 5-6 km.,25
q197,bee_products,Prodotti dell'alveare,La propoli ha proprietà principalmente:,Dolcificanti,"Antibatteriche, antivirali e antifungine",Coloranti,Nutritive come il miele,1,È usata dalle api per sanificare l’alveare.,25
q199,diseases,Malattie e parassiti,La varroa preferisce parassitare:,Solo le api adulte,Soprattutto la covata di fuchi (drone brood),Solo le operaie,La regina,1,Le celle di fuco hanno periodo larvale più lungo e sono preferite dalla varroa.,25
q200,bees,Le api,Qual è il superorganismo nell’apicoltura?,La singola ape,La colonia nel suo insieme,L’apiario completo,Lo sciame,1,La colonia è considerata un superorganismo per la divisione del lavoro e la coesione.,25
